epoch,step,test_accuracy,test_f1,test_loss,test_precision,test_recall,train_accuracy,train_f1,train_loss,train_precision,train_recall
0,151,0.906095564365387,0.9098101258277893,0.2816746234893799,0.8846153616905212,0.9364820718765259,,,,,
0,151,,,,,,0.7491245865821838,0.7537403702735901,0.5082279443740845,0.7482938766479492,0.7592667937278748
1,303,0.8640856742858887,0.8741418719291687,0.322022408246994,0.8220946788787842,0.9332247376441956,,,,,
1,303,,,,,,0.8473738431930542,0.8640117645263672,0.3509824573993683,0.7862391471862793,0.9588594436645508
2,455,0.936573326587677,0.9385474920272827,0.16609613597393036,0.920187771320343,0.9576547145843506,,,,,
2,455,,,,,,0.9258496165275574,0.9279999732971191,0.205404132604599,0.9115913510322571,0.9450101852416992
3,607,0.9151564836502075,0.9136630296707153,0.24299095571041107,0.9412780404090881,0.8876221776008606,,,,,
3,607,,,,,,0.9069001078605652,0.9054393172264099,0.26927658915519714,0.930752694606781,0.8814663887023926
4,759,0.798187792301178,0.7605082988739014,0.4176041781902313,0.95110023021698,0.6335504651069641,,,,,
4,759,,,,,,0.9351184368133545,0.9343065619468689,0.18024328351020813,0.9572649598121643,0.9124236106872559
5,911,0.7084019780158997,0.5968109369277954,0.5639684200286865,0.9924242496490479,0.4267100989818573,,,,,
5,911,,,,,,0.9314109086990356,0.9319435954093933,0.19081848859786987,0.9351927638053894,0.9287168979644775
6,1063,0.9497528672218323,0.9501226544380188,0.13096067309379578,0.954023003578186,0.9462540745735168,,,,,
6,1063,,,,,,0.9540679454803467,0.9544433355331421,0.13080517947673798,0.9573770761489868,0.95152747631073
7,1215,0.9555189609527588,0.9565916657447815,0.12882587313652039,0.9444444179534912,0.9690553545951843,,,,,
7,1215,,,,,,0.988053560256958,0.9881969690322876,0.04146825149655342,0.9873932600021362,0.9890020489692688
8,1367,0.9662273526191711,0.9664759039878845,0.09691382199525833,0.9704433679580688,0.9625407457351685,,,,,
8,1367,,,,,,0.9956745505332947,0.9957221150398254,0.020509138703346252,0.9959250092506409,0.9955193400382996
9,1519,0.96952223777771,0.9696969985961914,0.09307416528463364,0.9752883315086365,0.9641693830490112,,,,,
9,1519,,,,,,0.9989701509475708,0.998982310295105,0.008482729084789753,0.9983726739883423,0.999592661857605
