sequence_length,epoch,train_loss,test_loss,train_f1,test_f1
64,1,0.5255833268165588,0.338928610086441,0.7228306531906128,0.8751974701881409
64,2,0.2270189523696899,0.4128991067409515,0.9192042350769044,0.8433734774589539
64,3,0.1416281461715698,0.1360455006361007,0.956154465675354,0.954023003578186
64,4,0.0536258928477764,0.1204282641410827,0.9840113520622252,0.957498013973236
64,5,0.0290017612278461,0.1650272607803344,0.9928789138793944,0.9617940187454224
64,6,0.0237564835697412,0.107962742447853,0.9934959411621094,0.9611248970031738
64,7,0.0068554058670997,0.103672869503498,0.998778998851776,0.973061203956604
64,8,0.0032168056350201,0.1139271780848503,0.999388873577118,0.974151849746704
64,9,0.001094875507988,0.1114114448428154,1.0,0.9764035940170288
64,10,0.0005819593789055,0.1210231855511665,1.0,0.9740259647369384
128,1,0.5082279443740845,0.2816746234893799,0.7537403702735901,0.9098101258277892
128,2,0.3509824573993683,0.322022408246994,0.8640117645263672,0.8741418719291687
128,3,0.205404132604599,0.1660961359739303,0.9279999732971193,0.9385474920272828
128,4,0.2692765891551971,0.242990955710411,0.90543931722641,0.9136630296707152
128,5,0.1802432835102081,0.4176041781902313,0.9343065619468688,0.7605082988739014
128,6,0.1908184885978698,0.5639684200286865,0.9319435954093932,0.5968109369277954
128,7,0.1308051794767379,0.1309606730937957,0.954443335533142,0.9501226544380188
128,8,0.0414682514965534,0.1288258731365203,0.9881969690322876,0.9565916657447816
128,9,0.0205091387033462,0.0969138219952583,0.9957221150398254,0.9664759039878844
128,10,0.0084827290847897,0.0930741652846336,0.998982310295105,0.9696969985961914
256,1,0.5301816463470459,0.3283994793891907,0.734767735004425,0.892405092716217
256,2,0.305969774723053,0.2041639238595962,0.8893226385116577,0.9443996548652648
256,3,0.211050197482109,0.1900918334722519,0.933306872844696,0.939890682697296
256,4,0.1179972290992736,0.1724481433629989,0.9634684920310974,0.9563812613487244
256,5,0.0949019119143486,0.1229022890329361,0.9706058502197266,0.9606557488441468
256,6,0.0448503904044628,0.2932923138141632,0.9882448315620422,0.9017857313156128
256,7,0.0446892492473125,0.0690335929393768,0.9888370037078856,0.9828571677207948
256,8,0.3566912412643432,0.5635143518447876,0.8487359881401062,0.7170953154563904
256,9,0.2500782907009125,0.1157731413841247,0.9089009761810304,0.971854329109192
256,10,0.0538965202867984,0.0650865137577056,0.9893704056739808,0.983552634716034
